closed_ts,account_id_hashed
2020-05-29 07:48:54.463000 UTC,+lB6neler2PtWnsLb8WDtnRmqvhVFqJryY3blYFIqDqT7SYCPTrggastEzbMnYQycXJmvj5mGC9UP18mhj0sHw==
2020-02-11 11:35:12.230000 UTC,+lsI5OY9UN9Lj0eENKHF86bb2eJmMElxL1mJN3h5R2KF940M29YIawvw4HKj8Xicoc3BcVeOeahwMOHSDZDYUw==
2019-12-30 22:45:27.684000 UTC,+m6xDoavWwxGnQgYUpxfJCvSRyd4g0PRnTfesxBiygTCFkj3aXLz8WGkMtfEk8Fv59+9A8hiHVMwetDRQp/b1w==
2019-01-29 22:24:41.805000 UTC,+pH4pudHFgggh7af+hIL3QK2h9Heofqm2JJ7IlSwkKojmg9vekwAQweIozD2w2q97wglXNpvZ5h8rFPgaLTfyA==
2019-12-27 14:57:17.749000 UTC,+pahHTXOrTiQvDGc1YUaNOx60ZHeET5jZZ3DeheiidplHZCcZ0Li+gRf3k8KD9lX0AbxffFhl8UC3k2ddcvDOg==
2019-06-12 08:20:01.356000 UTC,+q9WqPZwmVt2XdfrI6OPzxfarYA9BkbRUdV0Aa5nPmFchIH733IQ2FGXEFVlx14Z67WZpbbOdit3guyy6KtIOw==
2020-06-22 08:30:49.460000 UTC,+rmHc8o+7bw6BtAqf4ZGCs0yjRroU0wQk53fDdBoEOGuRPlz16nOPEq4/KLwQeRftcJ8UVTv00Z9kIAP4Ag4/w==
2020-03-31 18:42:27.519000 UTC,+tqpg2TO3dRcSObvfiS6aj/TSh4bN9dFLMzZdrydpCBHBSKksuxUaeo6ErtCAqzdpCGZ8gwcwk/L/89bZ6HGCQ==
2019-08-28 06:50:49.909000 UTC,+u66taKzOhQdAw+08HSV3b2Bvlp2k06grIfHxtwUUsruvcsIHGuEcvfpq6SEMiTM2dhzunHa67KBM6cUIBZtzA==
2020-03-13 07:37:06.476000 UTC,+w8VelJClDAuvPLGZNxdZJq9bCOtEaZHbLJJJXxolBBTqTXP6hv0leXaVLnjq/SnZHYHqzUCCFy5MOmCZCH4Qw==
2019-12-12 16:44:04.574000 UTC,+whV1xMWBItU96Ojdf/cyt6LpBpn/BtQRIf4zocU0uE6o1oJpvlOZ4IdEphTrwcRdMjTmfv73C9EOZtgXSb1Jg==
2019-04-18 15:45:29.808000 UTC,+y8ICinHufNvrN4wfJoqvXTpP3htGguhkK+rqRJAvquIROStS+bZSvL3Juz9ciFqAnKCearpzyyhHvc9GTx7Lg==
2018-08-28 10:49:37.000000 UTC,+zM8HtiCKCUpSh3qhWPlmQo9nzNhfXJ2Mw3I7Im+ToYtADLJ4/IGgotG0kjFLpCYI12CQwANFDHWoynNFL7eIQ==
2019-09-02 09:58:55.837000 UTC,+zg5X2AftaWQCrJ1q8BmVhLjZ0C1vBalwSuM7oXNK7msPVU+m9KXdRLOOCfUDk32EonyUVrgapsKK+0xEhp+Aw==
2019-04-01 16:39:54.780000 UTC,+zouyDmaCrSz2ZKO0pDROXOu8PAPfftwyJ27yEf0w8Ls5SnSp0TtX4bh9l9Ql7r2bxQAi9ucFUhnCBFgxuuAGQ==
2019-08-10 08:45:41.238000 UTC,/+15gZQ7VFrGmXSX3vz5vMyxNa30n4TF/d8XMC/pylc8SH82Uk0/Eghu+EcoidaLtJvp2bUbdQ18A9LZ0FQbmg==
2019-10-16 22:07:48.168000 UTC,/+RiYv5aG0VdbbsKxZnVnIiMOQ/QHVtMyL4zKlnZXYoBFtR0QvavTTPB9n6KM+O6R4/ZDjyhy9v7MD/kQhjk1g==
2020-06-24 06:13:20.460000 UTC,///32xKSiKMhD3dmhuPMRv08gu8ZgBgUqFXEd87FQkm0exNCWYqjxPwJsUd+gzuuyMGAvr5IcQw9uEw4JP3Xfg==
2020-07-24 05:07:16.588000 UTC,//D8EztMXHE4ur7qJqI6BSWp1NpUbbYhsIE98ROuWzNB6rlYGayd+PhUP3DbtklD08XetWLrUan7Yc1ndW9fcQ==
2019-01-27 14:47:24.783000 UTC,/0kn6WZ25GezUg/IVSd6JN5X+j617JEBMmEfehwTYL4DNa2838nFHUVXQNSNcMYFZAbwfkA7Xbre9POyr1qOCw==
2020-07-06 07:19:58.807000 UTC,/16aMZxWRll/R1bYlfKBLgMAGQOv8yx1ZQpiid2+vtWErGtG/ngyqae6+7OWSQN9uuOvHCh4ZtYChoNWbd4cfw==
2019-07-02 08:58:08.332000 UTC,/2MJddh4HlScNeCHZUuk+LXrDCb1nif54L3iHrPJ9jIoTESdmFFEYe2IdRqLQDHT4IOH6x7ADX5jZrl0pCr4Pg==
2019-07-02 08:58:08.333000 UTC,/2MJddh4HlScNeCHZUuk+LXrDCb1nif54L3iHrPJ9jIoTESdmFFEYe2IdRqLQDHT4IOH6x7ADX5jZrl0pCr4Pg==
2019-01-14 14:33:54.634000 UTC,/3QX4Hw15apkdLTnp4ddbVrdgOS29gbs/QgFcbudmLi+oFNhMpwc0YFuBzEBL4IF5K7NjbjOtKG1JXY/KoqOxg==
2020-03-23 12:52:53.644000 UTC,/3TVeTVHWl32N53duHSQ0HFx1adf/xpZtbXJdsf+QJLtT9b0by24KnPbkO8CrvGaG72yPg3u7bbjB/WXhNE0GQ==
2019-10-21 10:29:41.679000 UTC,/3dPdpHbQMWfDWL6I3fLI19NvXsrWfwY+hFCR8tzsu/C84lYaGHAJ904DkQZfeVSfJuu+1DHp8pFLIacaXrirw==
2020-01-20 07:47:54.115000 UTC,/414Ixmm8bPsCaLkdI0AAGs/WzjQvXDMSuyeuuPfJlLZpXmtAwbxIXFSPgSKxYdSfBz0hK0G0iJq37Ou9Bfzmg==
2020-01-11 16:26:32.577000 UTC,/4lJx0peo6OhdKNxa4axITomMjU+40cChTqAovkyWm+teWb47DDa/2EY/q3fCwzVVrJU669e2wusPVG1z7zGxw==
2020-02-19 09:55:18.948000 UTC,/5O7DbtT06wOnCjP+BIoz5sSnyN1yhcE6wdjrMOghrzlgdkKZZm2KEBBQNTCJ3rkLKk/UKh+ELdfGCHCJhovww==
2020-02-08 23:14:19.209000 UTC,/6XhGM0gNvBr4oHZS0ULJZH1lmtd30koBsS0C/9MrnO5QxD+lgpQ7sKfIhSFIOvdVY5NRppg7kjzqhaKOmgZTg==
2020-02-28 07:02:49.520000 UTC,/7lKdHua8kihaZLHJT78mCc2cW12KS66HefWMwnvnxEYlNeRxvjNhaIcmDdDzPGnQtf8Rkue1+KEcBeLC7lawg==
2019-11-20 15:59:19.567000 UTC,/8hlty9lDjt4EG2nEJBskyKYQ3IN6e7xtyYL1d3cdETyxr1MAm6cKyekm/Cnag7OG2m5Z462Yo2yrcPEPt/7qw==
2020-07-09 11:13:07.883000 UTC,/8tKHtOUJp1fHqesITmXC6LqjywAs+pvAemfGZE6YHayg0YCZ9pNLYioRfUmRKukD0eRTV9l3IEfPgVkPlBm7A==
2020-02-16 20:14:56.035000 UTC,/9zoklfoQCG0AoJH7DEESZzl2+4T18oq1H8n6v9ad4jg8M4SBAt3iA0kii4qEMTikzaDoS7d0mXkOMm2ilU4Pg==
2019-12-19 21:17:43.858000 UTC,/AL4PJesQMXUt1T54XrNBgwbOJA/7sMtoVPcqxWIErw/CgVyDJCOvvMPVSUToiDE7U6bA5n0osqyhE8oZ7xt+g==
2019-01-03 10:45:59.226000 UTC,/BYyqbUzWCrwMy289575kY1Q2zFNPXbcF4/lJ8sc45qa1sX438VXNQm8i0E44Y3OZzceliT4gqDe8NR74dedJg==
2019-11-03 09:56:24.411000 UTC,/BaqJBtVmyy+xm9qbqsXglNZGnDHboWppym+fjd2yrYnbp1bqMsJHmZDPsnvA25PVHXk1QKzUZZJhrUGcsZxFw==
2019-11-27 21:44:37.205000 UTC,/DjDfx3sMoeSToqUQfFlDOQk3h4ZAuiACysAVP/tlr2LTgNtTkAtHPY8QtG3uEYhbnyiPX4gXK9Y9fdYwAtH/Q==
2019-08-25 22:19:32.549000 UTC,/G44Ej87y2+b8xTzAjd8sH83eNfz+UnB6RsZHis+/6RH5ckWsmjXaQN8wzs3innXip7W/7wb9bFm+fslowvSug==
2020-03-19 12:38:55.589000 UTC,/GKl4X6ZlCYDXvTowQqOdVp0QpFHwPun4EZTSdfg0GJLIWsZO/3ttMZSm6zIpUg7V3nO3bjSqCQN4oyELQ9kyQ==
2019-06-26 18:06:58.830000 UTC,/HlgiABGsT401QF6x3ZXEX5UiAHo37MXhDtQVvfS9ETLpnJcB5oQewxyuVGwZ57K2PqVZeXuqH5uFN9labCXEQ==
2019-11-13 22:45:34.628000 UTC,/I8TByi3SPENO0eP0rR9hGcfHLhZzK26MVY/pUYeoXJ6nIaOrB7JgoxErRyQIzMCjObxxCn/O3nL1ZMySlbiSA==
2019-10-05 16:27:10.679000 UTC,/IoZICSSSgxToPprg443leSBBDUR4b4ZjksUNxEJ+JfBPFgcuNrlGgzJXL2/IItWJMN6FjoDLOC4fzMoBi6ZzQ==
2020-06-18 00:49:22.800000 UTC,/Kvg3sGNpJkXnv/cpd+dWkq41J/wbt1I84kQthDOmqXdp8HjSVI62m3i5fuoMUPgw2rpdbtHiPNm0Y+MToRvtQ==
2020-05-27 13:39:17.681000 UTC,/M8D9siSU7iSKRByyyRQiIkgcYffU5nz5cIm5KA6xcR4knVs6XWpcCmybf0wqXZWEozw1/kBTEwr1cO8hLWHNg==
2020-01-12 11:37:41.188000 UTC,/MwT4gmlDPaaNdf/h6mx6W/9eKWxqDWieZDMB1pMSidMEXVz36LwyHoKvO6d7+Amr9hZkNnjZ351yUCgcroBeg==
2019-12-29 19:58:03.820000 UTC,/Nrjt9SaCjseQnS2uZQEaT/0TsfkqHw+44kB26QUAzmaKSuAs5aNI+G7Pf5NSISezL9tET68nAXj532+Fbj6EQ==
2020-01-30 19:58:38.447000 UTC,/ONDWgeZU/M3p1ueujOP0RcvYi5koRwMA2bUrfBTP3d1JmQCkhhmrqg13+4/JQPboevtrweBuu6ygDu1sGIVuw==
2019-10-03 12:40:53.463000 UTC,/OqQAImTfMJHDm2gfCSvIzjprHZN6wJ/x5QLLIwfayz2sqmszCUltWemzP4ssCeLt7Ii/6nrnY1dXWrqVRIelA==
